parameter,zipf_K,exponential_K,logistic_K
1.24,0.09358929085459193,0.5498776887847715,0.0027605556996344576
1.25,0.09669656923082084,0.5533590530523055,0.0027607554009883503
1.26,0.09985808012232057,0.556821163235278,0.0027609519350716583
1.27,0.10307288773307303,0.5602640069546864,0.0027611453769242223
1.28,0.1063400049716564,0.563687573884794,0.0027613357992549697
1.29,0.10965839622307118,0.5670918557320043,0.0027615232725327725
1.3,0.1130269802099565,0.570476846213488,0.0027617078650730995
1.31,0.1164446329273056,0.5738425410355761,0.002761889643120707
1.32,0.11991019063495544,0.5771889378719277,0.0027620686709285505
1.33,0.12342245289240031,0.5805160363414886,0.0027622450108331356
1.34,0.12698018562086483,0.5838238379862462,0.002762418723326492
1.35,0.13058212417805273,0.5871123462487963,0.0027625898671249246
1.36,0.13422697643155682,0.5903815664497324,0.0027627584992347323
1.37,0.13791342581756286,0.5936315057648638,0.002762924675015041
1.3800000000000001,0.14164013437218978,0.5968621732022807,0.0027630884482378673
1.3900000000000001,0.1454057457235787,0.6000735795792721,0.002763249871145619
1.4000000000000001,0.14920888803365648,0.6032657374991054,0.0027634089945060584
1.41,0.15304817687934497,0.6064386613276851,0.002763565867664977
1.42,0.15692221806386455,0.6095923671700946,0.0027637205385965813
1.43,0.16082961034966078,0.6127268728470314,0.0027638730539517645
1.44,0.1647689481053892,0.6158421978711516,0.0027640234591043544
1.45,0.16873882386027259,0.6189383634233279,0.0027641717981954188
1.46,0.17273783076003923,0.62201539232883,0.0027643181141757483
1.47,0.17676456491950848,0.6250733090334447,0.0027644624488465685
1.48,0.1808176276677383,0.6281121395795343,0.0027646048428985976
1.49,0.18489562768246184,0.6311319115820527,0.0027647453359495033
1.5,0.18899718301132157,0.634132654204522,0.002764883966579851
1.51,0.1931209229781556,0.63711439813498,0.0027650207723675935
1.52,0.19726548997329066,0.6400771755619071,0.0027651557899211884
1.53,0.20142954112746203,0.6430210201501461,0.0027652890549113933
1.54,0.20561174986959116,0.6459459670168135,0.0027654206021018026
1.55,0.2098108073692239,0.6488520527072184,0.0027655504653781803
1.56,0.21402542386495235,0.6517393151707978,0.002765678677776657
1.57,0.218254329880619,0.65460779373707,0.002765805271510812
1.58,0.22249627733152563,0.6574575290916168,0.0027659302779977106
1.59,0.22675004052325667,0.6602885632521074,0.00276605372788296
1.6,0.23101441704605238,0.6631009395443611,0.0027661756510647772
1.61,0.2352882285679674,0.6658947025784656,0.00276629607671716
1.62,0.23957032153029048,0.6686698982249513,0.002766415033312174
1.6300000000000001,0.24385956774891435,0.6714265735910353,0.0027665325486414035
1.6400000000000001,0.24815486492551275,0.6741647769969329,0.0027666486498366004
1.6500000000000001,0.25245513707251027,0.6768845579522528,0.002766763363389549
1.6600000000000001,0.25675933485593566,0.6795859671324745,0.002766876715171228
1.67,0.26106643586030986,0.6822690563555205,0.0027669887304502304
1.68,0.26537544477976444,0.6849338785584235,0.0027670994339105367
1.69,0.2696853935395872,0.6875804877741001,0.0027672088496686156
1.7,0.2739953413523907,0.690208939108231,0.0027673170012899396
1.71,0.2783043747130502,0.6928192887162617,0.0027674239118048644
1.72,0.28261160733651386,0.6954115937805161,0.0027675296037239705
1.73,0.28691618004250546,0.6979859124874441,0.002767634099052848
1.74,0.29121726059105785,0.7005423040049932,0.0027677374193063524
1.75,0.29551404347271154,0.7030808284601215,0.0027678395855223687
1.76,0.29980574965709716,0.7056015469164477,0.002767940618275082
1.77,0.3040916263035021,0.7081045213520476,0.0027680405376877895
1.78,0.30837094643688806,0.7105898146373997,0.002768139363445284
